dataset,homo,div,align,res,map@20,ndcg@20,precision@20,recall@20
baby,False,False,False,False,0.0134,0.0211,0.0025,0.0494
baby,False,False,False,False,0.0133,0.0214,0.0026,0.0514
baby,False,False,False,False,0.0134,0.0211,0.0025,0.0494
baby,False,False,False,True,0.0132,0.0213,0.0026,0.0514
baby,False,False,False,True,0.0134,0.0211,0.0025,0.0494
baby,False,False,False,True,0.0134,0.021,0.0025,0.0494
baby,False,False,True,False,0.0134,0.0211,0.0025,0.0494
baby,False,False,True,False,0.0134,0.021,0.0025,0.0494
baby,False,False,True,False,0.0132,0.0213,0.0026,0.0514
baby,False,False,True,True,0.0134,0.021,0.0025,0.0494
baby,False,False,True,True,0.0134,0.0211,0.0025,0.0494
baby,False,False,True,True,0.0132,0.0212,0.0025,0.0509
baby,False,True,False,False,0.0157,0.0253,0.003,0.0602
baby,False,True,False,False,0.0146,0.0238,0.0029,0.0581
baby,False,True,False,False,0.0157,0.0248,0.0029,0.0581
baby,False,True,False,True,0.0143,0.023,0.0028,0.055
baby,False,True,False,True,0.0149,0.0244,0.003,0.0596
baby,False,True,False,True,0.015,0.0239,0.0028,0.0566
baby,False,True,True,False,0.0168,0.0262,0.003,0.0607
baby,False,True,True,False,0.0139,0.0237,0.003,0.0596
baby,False,True,True,False,0.0166,0.0262,0.0031,0.0612
baby,False,True,True,True,0.0154,0.0246,0.0029,0.0581
baby,False,True,True,True,0.016,0.0259,0.0031,0.0617
baby,False,True,True,True,0.0161,0.0256,0.003,0.0602
baby,True,False,False,False,0.0155,0.0244,0.0028,0.0566
baby,True,False,False,False,0.0117,0.0201,0.0025,0.0509
baby,True,False,False,False,0.014,0.0211,0.0023,0.0463
baby,True,False,False,True,0.0154,0.0238,0.0028,0.055
baby,True,False,False,True,0.0123,0.0201,0.0024,0.0488
baby,True,False,False,True,0.0157,0.0232,0.0025,0.0499
baby,True,False,True,False,0.014,0.0227,0.0027,0.0545
baby,True,False,True,False,0.014,0.0227,0.0027,0.0545
baby,True,False,True,False,0.014,0.0227,0.0027,0.0545
baby,True,False,True,True,0.0139,0.0216,0.0025,0.0499
baby,True,False,True,True,0.0138,0.0216,0.0025,0.0499
baby,True,False,True,True,0.0138,0.0216,0.0025,0.0499
baby,True,True,False,False,0.0151,0.0249,0.0031,0.0612
baby,True,True,False,False,0.0153,0.0257,0.0032,0.0638
baby,True,True,False,False,0.0159,0.0262,0.0032,0.0643
baby,True,True,False,True,0.0146,0.0233,0.0028,0.055
baby,True,True,False,True,0.0139,0.0229,0.0028,0.056
baby,True,True,False,True,0.0144,0.0244,0.0031,0.0617
baby,True,True,True,False,0.0183,0.0292,0.0034,0.0684
baby,True,True,True,False,0.0184,0.0302,0.0037,0.073
baby,True,True,True,False,0.0162,0.0262,0.0031,0.0627
baby,True,True,True,True,0.0159,0.0263,0.0032,0.0648
baby,True,True,True,True,0.014,0.0234,0.0029,0.0581
baby,True,True,True,True,0.0152,0.0248,0.003,0.0596
clothing,False,False,False,False,0.0184,0.0305,0.0037,0.0744
clothing,False,False,False,False,0.0183,0.0305,0.0037,0.0749
clothing,False,False,False,False,0.0192,0.0313,0.0038,0.0757
clothing,False,False,False,True,0.0178,0.03,0.0037,0.0749
clothing,False,False,False,True,0.0189,0.0306,0.0037,0.0731
clothing,False,False,False,True,0.0195,0.0319,0.0038,0.0769
clothing,False,False,True,False,0.0184,0.0306,0.0037,0.0746
clothing,False,False,True,False,0.0173,0.0295,0.0037,0.0739
clothing,False,False,True,False,0.017,0.0293,0.0037,0.0744
clothing,False,False,True,True,0.0176,0.0306,0.0039,0.0782
clothing,False,False,True,True,0.0191,0.0308,0.0037,0.0734
clothing,False,False,True,True,0.0189,0.0317,0.0039,0.0779
clothing,False,True,False,False,0.0092,0.0158,0.002,0.0399
clothing,False,True,False,False,0.009,0.0158,0.0021,0.0411
clothing,False,True,False,False,0.0087,0.0144,0.0018,0.0353
clothing,False,True,False,True,0.0122,0.0183,0.002,0.0406
clothing,False,True,False,True,0.0081,0.0146,0.0019,0.0381
clothing,False,True,False,True,0.0076,0.0144,0.002,0.0394
clothing,False,True,True,False,0.0126,0.0219,0.0028,0.0559
clothing,False,True,True,False,0.0124,0.0216,0.0028,0.0553
clothing,False,True,True,False,0.0125,0.0222,0.0029,0.0574
clothing,False,True,True,True,0.0081,0.0144,0.0019,0.0381
clothing,False,True,True,True,0.0088,0.0161,0.0021,0.0427
clothing,False,True,True,True,0.0068,0.0131,0.0018,0.036
clothing,True,False,False,False,0.0156,0.0271,0.0035,0.0696
clothing,True,False,False,False,0.0157,0.0274,0.0035,0.0696
clothing,True,False,False,False,0.0162,0.0281,0.0036,0.0711
clothing,True,False,False,True,0.0172,0.0301,0.0038,0.0769
clothing,True,False,False,True,0.0188,0.0307,0.0037,0.0741
clothing,True,False,False,True,0.0193,0.0314,0.0037,0.0749
clothing,True,False,True,False,0.0221,0.0353,0.0042,0.0833
clothing,True,False,True,False,0.0202,0.0348,0.0044,0.0878
clothing,True,False,True,False,0.0222,0.0356,0.0042,0.084
clothing,True,False,True,True,0.0252,0.0395,0.0045,0.0904
clothing,True,False,True,True,0.0286,0.044,0.005,0.0995
clothing,True,False,True,True,0.0149,0.0262,0.0034,0.067
