dataset,homo,div,align,res,map@20,ndcg@20,precision@20,recall@20
baby,False,False,False,False,0.0134,0.0218,0.0026,0.0524
baby,False,False,False,False,0.0133,0.0216,0.0026,0.0519
baby,False,False,False,False,0.0135,0.0218,0.0026,0.0524
baby,False,False,False,True,0.0135,0.0218,0.0026,0.0524
baby,False,False,False,True,0.0134,0.0218,0.0026,0.0524
baby,False,False,False,True,0.0135,0.0218,0.0026,0.0524
baby,False,False,True,False,0.0135,0.0219,0.0026,0.0524
baby,False,False,True,False,0.0134,0.0218,0.0026,0.0524
baby,False,False,True,False,0.0134,0.0218,0.0026,0.0524
baby,False,False,True,True,0.0134,0.0218,0.0026,0.0524
baby,False,False,True,True,0.0134,0.0218,0.0026,0.0524
baby,False,False,True,True,0.0134,0.0218,0.0026,0.0524
baby,False,True,False,False,0.0098,0.0161,0.002,0.0391
baby,False,True,False,False,0.0097,0.0148,0.0016,0.0329
baby,False,True,False,False,0.014,0.023,0.0028,0.056
baby,False,True,False,True,0.0134,0.0218,0.0026,0.053
baby,False,True,False,True,0.0142,0.0238,0.003,0.0591
baby,False,True,False,True,0.0122,0.0212,0.0027,0.054
baby,False,True,True,False,0.0129,0.0218,0.0027,0.054
baby,False,True,True,False,0.0124,0.0196,0.0023,0.0458
baby,False,True,True,False,0.012,0.0188,0.0022,0.0432
baby,False,True,True,True,0.0122,0.0203,0.0025,0.0499
baby,False,True,True,True,0.0117,0.021,0.0028,0.055
baby,False,True,True,True,0.0124,0.0213,0.0027,0.054
baby,True,False,False,False,0.0102,0.0174,0.0022,0.0442
baby,True,False,False,False,0.0116,0.0193,0.0024,0.0478
baby,True,False,False,False,0.0109,0.018,0.0022,0.0442
baby,True,False,False,True,0.0154,0.0229,0.0025,0.0504
baby,True,False,False,True,0.0148,0.0241,0.0029,0.0576
baby,True,False,False,True,0.015,0.0237,0.0027,0.0545
baby,True,False,True,False,0.0141,0.0227,0.0027,0.0545
baby,True,False,True,False,0.0141,0.0227,0.0027,0.0545
baby,True,False,True,False,0.0141,0.0227,0.0027,0.0545
baby,True,False,True,True,0.0145,0.0231,0.0027,0.0545
baby,True,False,True,True,0.0145,0.0231,0.0027,0.0545
baby,True,False,True,True,0.0145,0.0231,0.0027,0.0545
baby,True,True,False,False,0.0141,0.0226,0.0027,0.054
baby,True,True,False,False,0.0141,0.0226,0.0027,0.054
baby,True,True,False,False,0.0141,0.0226,0.0027,0.054
baby,True,True,False,True,0.0142,0.0246,0.0031,0.0627
baby,True,True,False,True,0.0131,0.0223,0.0028,0.056
baby,True,True,False,True,0.0129,0.0219,0.0027,0.0545
baby,True,True,True,False,0.0135,0.0216,0.0025,0.0509
baby,True,True,True,False,0.014,0.022,0.0026,0.0514
baby,True,True,True,False,0.0134,0.0215,0.0025,0.0509
baby,True,True,True,True,0.0187,0.0298,0.0035,0.0699
baby,True,True,True,True,0.0154,0.0265,0.0034,0.0674
baby,True,True,True,True,0.0182,0.029,0.0034,0.0684
clothing,False,False,False,False,0.0196,0.032,0.0039,0.0772
clothing,False,False,False,False,0.0191,0.0315,0.0038,0.0767
clothing,False,False,False,False,0.0187,0.0306,0.0037,0.0739
clothing,False,False,False,True,0.0177,0.0305,0.0039,0.0777
clothing,False,False,False,True,0.0185,0.0308,0.0038,0.0751
clothing,False,False,False,True,0.0192,0.0316,0.0038,0.0767
clothing,False,False,True,False,0.0175,0.0299,0.0037,0.0749
clothing,False,False,True,False,0.0179,0.0298,0.0037,0.0731
clothing,False,False,True,False,0.0195,0.0319,0.0039,0.0774
clothing,False,False,True,True,0.018,0.0304,0.0038,0.0751
clothing,False,False,True,True,0.0197,0.0316,0.0038,0.0751
clothing,False,False,True,True,0.0184,0.0311,0.0039,0.0779
clothing,False,True,False,False,0.0057,0.0108,0.0015,0.0297
