epoch,total_loss,bpr_loss,reg_loss,align_loss,diver_loss
0,1.377444,0.62388,0.000252,0.751171,0.002142
1,0.916695,0.615085,0.000252,0.300138,0.00122
2,0.730297,0.608325,0.000252,0.121112,0.000608
3,0.642103,0.598568,0.000252,0.042487,0.000796
4,0.614199,0.596789,0.000252,0.016856,0.000301
5,0.609952,0.595278,0.000253,0.013938,0.000484
6,0.600276,0.582318,0.000253,0.017498,0.000208
7,0.597748,0.577154,0.000253,0.020059,0.000282
8,0.594282,0.575164,0.000253,0.018697,0.000168
9,0.570966,0.556757,0.000253,0.01376,0.000196
10,0.556112,0.547963,0.000253,0.007735,0.000161
11,0.539945,0.536413,0.000253,0.003109,0.000169
12,0.526247,0.524766,0.000253,0.001075,0.000153
13,0.514175,0.512536,0.000253,0.001234,0.000152
14,0.498984,0.496442,0.000253,0.002138,0.000151
15,0.492308,0.489229,0.000254,0.002678,0.000147
16,0.471132,0.468198,0.000254,0.002526,0.000155
17,0.456961,0.454737,0.000254,0.001823,0.000147
18,0.434551,0.433148,0.000254,0.001001,0.000148
19,0.41531,0.414452,0.000254,0.000459,0.000145
20,0.394517,0.393866,0.000254,0.000248,0.000148
21,0.369247,0.368577,0.000254,0.000265,0.000151
22,0.350894,0.350087,0.000254,0.000394,0.000158
23,0.323091,0.321973,0.000255,0.000693,0.000171
24,0.304882,0.3032,0.000255,0.001244,0.000183
25,0.282753,0.280393,0.000255,0.001912,0.000194
26,0.269966,0.267265,0.000255,0.002245,0.000201
27,0.254449,0.25206,0.000255,0.00193,0.000203
28,0.240266,0.238654,0.000255,0.001157,0.0002
29,0.228619,0.227669,0.000255,0.000499,0.000196
30,0.217405,0.216593,0.000256,0.00036,0.000196
31,0.207828,0.206982,0.000256,0.000393,0.000197
32,0.192155,0.191395,0.000256,0.000305,0.000199
33,0.183694,0.182944,0.000256,0.000291,0.000204
34,0.175559,0.174832,0.000256,0.000267,0.000204
35,0.169094,0.168426,0.000256,0.000207,0.000205
36,0.159528,0.158857,0.000257,0.000215,0.0002
37,0.150868,0.15015,0.000257,0.000263,0.000198
