epoch,total_loss,bpr_loss,reg_loss,align_loss,diver_loss
0,1.347067,0.594732,0.000252,0.749977,0.002105
1,0.890533,0.589853,0.000252,0.299199,0.001229
2,0.706644,0.585026,0.000252,0.120731,0.000635
3,0.618928,0.57581,0.000252,0.042118,0.000747
4,0.590613,0.573535,0.000252,0.016484,0.000341
5,0.584229,0.569971,0.000253,0.013477,0.000529
6,0.573847,0.556492,0.000253,0.016868,0.000235
7,0.568723,0.548918,0.000253,0.019314,0.000239
8,0.561799,0.543351,0.000253,0.01793,0.000265
9,0.538543,0.525033,0.000253,0.01306,0.000197
10,0.520773,0.51312,0.000253,0.007191,0.000209
11,0.503847,0.500611,0.000253,0.002791,0.000192
12,0.487222,0.48574,0.000253,0.00103,0.000199
13,0.47199,0.470163,0.000253,0.001369,0.000204
14,0.455731,0.453007,0.000253,0.002276,0.000196
15,0.444833,0.441642,0.000253,0.002746,0.000192
16,0.424408,0.421394,0.000253,0.002574,0.000187
17,0.408222,0.405914,0.000254,0.00187,0.000184
18,0.385658,0.384179,0.000254,0.001046,0.000179
19,0.364774,0.363878,0.000254,0.000461,0.000181
20,0.343505,0.342803,0.000254,0.000271,0.000177
21,0.319242,0.318515,0.000254,0.000293,0.00018
