epoch,total_loss,bpr_loss,reg_loss,align_loss,diver_loss
0,0.974332,0.600013,0.000251,0.367332,0.006736
1,0.624471,0.581156,0.000251,0.041462,0.001603
2,0.576526,0.554545,0.000251,0.021009,0.000721
3,0.549694,0.527586,0.000251,0.021546,0.00031
4,0.50093,0.491964,0.000251,0.008451,0.000264
5,0.461126,0.458587,0.000252,0.002024,0.000263
6,0.429037,0.425656,0.000252,0.002885,0.000244
7,0.383805,0.381367,0.000252,0.001987,0.000199
8,0.340319,0.339313,0.000252,0.000566,0.000188
9,0.298307,0.29751,0.000252,0.000355,0.000189
10,0.257393,0.256527,0.000252,0.000415,0.000198
11,0.22505,0.22371,0.000252,0.000873,0.000215
12,0.201122,0.19952,0.000252,0.001122,0.000228
13,0.187163,0.186211,0.000253,0.000469,0.000231
14,0.175176,0.174442,0.000253,0.000253,0.000229
15,0.162545,0.161758,0.000253,0.00031,0.000225
16,0.152351,0.151607,0.000253,0.000271,0.00022
17,0.141489,0.140644,0.000253,0.000375,0.000216
18,0.134715,0.133998,0.000253,0.000253,0.00021
19,0.125535,0.124855,0.000253,0.000223,0.000203
20,0.120125,0.119437,0.000254,0.000235,0.0002
21,0.114838,0.114113,0.000254,0.000275,0.000196
22,0.107645,0.106964,0.000254,0.000238,0.00019
23,0.105243,0.104524,0.000254,0.000279,0.000185
24,0.097399,0.096655,0.000254,0.000311,0.000179
25,0.092345,0.091597,0.000254,0.000319,0.000174
26,0.087327,0.086666,0.000254,0.000238,0.000169
27,0.083738,0.083093,0.000254,0.000228,0.000162
28,0.081271,0.080607,0.000255,0.000253,0.000156
29,0.076897,0.076244,0.000255,0.000247,0.000151
30,0.074502,0.073876,0.000255,0.000226,0.000146
31,0.071003,0.070349,0.000255,0.000259,0.000141
32,0.067528,0.066895,0.000255,0.000242,0.000135
33,0.064096,0.063485,0.000255,0.000226,0.00013
34,0.061765,0.06118,0.000255,0.000206,0.000124
35,0.060257,0.05964,0.000255,0.000242,0.000119
36,0.059138,0.058496,0.000256,0.000273,0.000113
37,0.055482,0.054846,0.000256,0.00027,0.00011
38,0.054496,0.053893,0.000256,0.000239,0.000108
39,0.052983,0.052413,0.000256,0.00021,0.000104
40,0.051596,0.051021,0.000256,0.000219,0.0001
41,0.049169,0.048592,0.000256,0.000222,9.9e-05
42,0.046906,0.046341,0.000256,0.000212,9.6e-05
43,0.046601,0.046024,0.000256,0.000226,9.4e-05
44,0.044163,0.0436,0.000256,0.000214,9.4e-05
45,0.042309,0.041758,0.000257,0.000201,9.3e-05
46,0.041147,0.040613,0.000257,0.000187,9.1e-05
47,0.039576,0.039029,0.000257,0.000202,8.9e-05
48,0.038114,0.037519,0.000257,0.00025,8.9e-05
49,0.03677,0.036197,0.000257,0.000227,8.9e-05
50,0.035775,0.035232,0.000257,0.000197,8.9e-05
51,0.035112,0.034615,0.000257,0.000152,8.8e-05
52,0.035137,0.034639,0.000257,0.000153,8.8e-05
53,0.033544,0.033057,0.000257,0.000141,8.8e-05
54,0.032566,0.032074,0.000258,0.000146,8.7e-05
55,0.030803,0.030354,0.000258,0.000106,8.6e-05
56,0.031503,0.031056,0.000258,0.000104,8.6e-05
57,0.029261,0.028794,0.000258,0.000123,8.6e-05
58,0.027807,0.027337,0.000258,0.000128,8.4e-05
59,0.028314,0.027856,0.000258,0.000116,8.4e-05
60,0.027233,0.026762,0.000258,0.000128,8.4e-05
61,0.026921,0.026448,0.000258,0.000131,8.4e-05
62,0.025834,0.025336,0.000258,0.000156,8.3e-05
63,0.024532,0.024069,0.000258,0.000122,8.3e-05
64,0.024353,0.023879,0.000258,0.000132,8.3e-05
65,0.024641,0.024112,0.000259,0.000188,8.2e-05
66,0.024718,0.024202,0.000259,0.000176,8.1e-05
67,0.022991,0.022463,0.000259,0.00019,8e-05
68,0.022776,0.022284,0.000259,0.000155,7.9e-05
69,0.022403,0.021915,0.000259,0.000152,7.7e-05
70,0.022498,0.021974,0.000259,0.000189,7.6e-05
71,0.022031,0.02155,0.000259,0.000145,7.6e-05
72,0.021183,0.020693,0.000259,0.000156,7.5e-05
73,0.020907,0.020406,0.000259,0.000168,7.4e-05
74,0.020282,0.019813,0.000259,0.000136,7.4e-05
75,0.01932,0.018832,0.000259,0.000156,7.3e-05
76,0.019149,0.018642,0.000259,0.000176,7.2e-05
77,0.018663,0.018153,0.00026,0.000179,7.1e-05
78,0.019669,0.019181,0.00026,0.000159,7e-05
79,0.01788,0.0174,0.00026,0.000151,6.9e-05
80,0.017566,0.017136,0.00026,0.000103,6.8e-05
81,0.016853,0.016448,0.00026,7.9e-05,6.7e-05
82,0.01745,0.017016,0.00026,0.000107,6.6e-05
83,0.016204,0.015758,0.00026,0.000121,6.5e-05
84,0.016041,0.015619,0.00026,9.8e-05,6.4e-05
