epoch,total_loss,bpr_loss,reg_loss,align_loss,diver_loss
0,0.944416,0.569853,0.000251,0.367578,0.006734
1,0.58877,0.547366,0.000251,0.039519,0.001634
2,0.534202,0.513389,0.000251,0.019759,0.000803
3,0.501593,0.481893,0.000251,0.019089,0.00036
4,0.453709,0.446012,0.000251,0.007154,0.000292
5,0.414837,0.412146,0.000252,0.002176,0.000264
6,0.383104,0.380073,0.000252,0.002542,0.000238
7,0.341186,0.339104,0.000252,0.001632,0.000198
8,0.30178,0.300903,0.000252,0.000434,0.000191
9,0.266358,0.265583,0.000252,0.000334,0.000188
10,0.231302,0.230487,0.000252,0.000371,0.000192
11,0.203445,0.202378,0.000252,0.000616,0.000199
12,0.181553,0.180344,0.000252,0.000753,0.000204
13,0.169101,0.168252,0.000252,0.000396,0.000202
14,0.158345,0.15767,0.000253,0.000224,0.000198
15,0.146423,0.145734,0.000253,0.00024,0.000195
16,0.137878,0.137225,0.000253,0.000214,0.000186
17,0.12756,0.126816,0.000253,0.00031,0.000181
18,0.121261,0.120615,0.000253,0.000214,0.000179
19,0.113659,0.113023,0.000253,0.000213,0.000171
20,0.107943,0.107272,0.000253,0.00025,0.000168
21,0.103377,0.102718,0.000253,0.000241,0.000165
