epoch,total_loss,bpr_loss,dragon_loss
0,0.761344,0.505049,0.510497
1,0.715666,0.275698,0.299775
2,0.623352,0.189307,0.22544
3,0.520423,0.155327,0.20119
4,0.419495,0.106407,0.149324
5,0.325671,0.062543,0.104311
6,0.259218,0.04871,0.090665
7,0.200543,0.040493,0.075904
8,0.161005,0.030882,0.063936
9,0.131366,0.025199,0.061098
10,0.108341,0.020047,0.051804
11,0.085713,0.013749,0.046378
12,0.076791,0.024905,0.055533
13,0.06494,0.01138,0.038369
14,0.059659,0.007654,0.029201
15,0.050641,0.012643,0.038254
16,0.050219,0.011988,0.036507
17,0.043591,0.010841,0.033765
18,0.038691,0.015717,0.03891
19,0.042177,0.011905,0.033733
20,0.032785,0.006318,0.033099
21,0.03268,0.002942,0.02054
22,0.031895,0.004148,0.021757
23,0.030529,0.008079,0.029682
24,0.032345,0.008486,0.029854
25,0.030738,0.002951,0.026884
26,0.030261,0.010444,0.029279
27,0.034706,0.00703,0.023834
28,0.028252,0.005071,0.019568
29,0.029047,0.004548,0.024043
30,0.026278,0.00704,0.026088
31,0.028738,0.003672,0.021427
32,0.030359,0.005868,0.024634
33,0.025626,0.009838,0.03154
34,0.027729,0.007382,0.02061
35,0.028545,0.006895,0.027896
36,0.025345,0.007232,0.017817
37,0.021257,0.007825,0.028353
38,0.026298,0.004644,0.020461
39,0.024093,0.005478,0.018
40,0.022192,0.005332,0.023243
41,0.024839,0.003851,0.018389
42,0.025579,0.004646,0.021827
43,0.021787,0.014989,0.036449
44,0.027087,0.00581,0.022119
45,0.025841,0.00454,0.018049
46,0.023909,0.002034,0.017377
47,0.021812,0.002193,0.014003
48,0.017833,0.002146,0.016999
49,0.019702,0.004838,0.020774
50,0.021144,0.00271,0.018536
51,0.021861,0.004574,0.021465
52,0.022411,0.005179,0.02137
53,0.022382,0.002709,0.016832
54,0.026503,0.001692,0.017369
55,0.018864,0.003099,0.014812
56,0.026425,0.008423,0.02157
57,0.020191,0.005351,0.019651
58,0.02165,0.005938,0.019951
59,0.01946,0.00479,0.021215
60,0.023104,0.003696,0.020633
61,0.019316,0.006548,0.016811
62,0.022997,0.006775,0.033432
63,0.018026,0.005036,0.01715
64,0.025378,0.003978,0.019489
65,0.023827,0.023701,0.036053
66,0.022049,0.002102,0.013815
67,0.025145,0.01665,0.030306
68,0.023201,0.00222,0.019607
69,0.023787,0.002061,0.015745
70,0.02473,0.002672,0.015493
71,0.023367,0.009853,0.025627
72,0.027186,0.004838,0.022557
73,0.021631,0.00297,0.017988
74,0.019676,0.004901,0.018046
75,0.025832,0.006125,0.01776
76,0.015303,0.002199,0.018939
77,0.017475,0.004187,0.019907
78,0.02282,0.009995,0.026672
79,0.021579,0.002187,0.014552
80,0.023381,0.003807,0.015733
81,0.027651,0.006906,0.02097
82,0.020486,0.00683,0.022771
83,0.028956,0.006976,0.014996
84,0.019598,0.006544,0.021847
