epoch,total_loss,bpr_loss,reg_loss,align_loss,diver_loss
0,1.347067,0.594732,0.000252,0.749978,0.002105
1,0.890534,0.589853,0.000252,0.299199,0.001229
2,0.706645,0.585026,0.000252,0.120731,0.000635
3,0.618928,0.57581,0.000252,0.042118,0.000747
4,0.590614,0.573536,0.000252,0.016485,0.000341
5,0.584229,0.56997,0.000253,0.013477,0.000529
6,0.573847,0.556492,0.000253,0.016868,0.000235
7,0.568722,0.548917,0.000253,0.019313,0.000239
8,0.561797,0.54335,0.000253,0.017928,0.000265
9,0.538542,0.525033,0.000253,0.013059,0.000197
10,0.520772,0.513119,0.000253,0.007191,0.000209
11,0.503845,0.500609,0.000253,0.002791,0.000192
12,0.48722,0.485738,0.000253,0.00103,0.000199
13,0.471988,0.470161,0.000253,0.001369,0.000204
14,0.455727,0.453002,0.000253,0.002276,0.000196
15,0.444831,0.44164,0.000253,0.002746,0.000192
16,0.424402,0.421389,0.000253,0.002573,0.000187
17,0.408216,0.40591,0.000254,0.001869,0.000184
18,0.385653,0.384176,0.000254,0.001045,0.000179
19,0.364771,0.363876,0.000254,0.00046,0.000181
20,0.343503,0.342801,0.000254,0.00027,0.000177
21,0.319236,0.318509,0.000254,0.000293,0.00018
