epoch,total_loss,bpr_loss,reg_loss,align_loss,diver_loss
0,1.223134,0.603928,0.000251,0.61685,0.002105
1,0.682416,0.579479,0.000251,0.101982,0.000703
2,0.578974,0.566437,0.000251,0.011867,0.000419
3,0.555627,0.529479,0.000251,0.025608,0.000288
4,0.516768,0.497095,0.000252,0.019188,0.000233
5,0.451968,0.447702,0.000252,0.003826,0.000188
6,0.406397,0.403692,0.000252,0.002293,0.000159
7,0.370074,0.366162,0.000252,0.003506,0.000155
8,0.323343,0.321019,0.000252,0.001933,0.000139
9,0.294896,0.293896,0.000252,0.000613,0.000135
10,0.263792,0.262958,0.000252,0.000443,0.000138
11,0.238921,0.237792,0.000253,0.000731,0.000145
12,0.224963,0.223754,0.000253,0.00081,0.000146
13,0.203695,0.202741,0.000253,0.000552,0.000149
14,0.187085,0.186245,0.000253,0.000431,0.000156
15,0.180854,0.180095,0.000253,0.000348,0.000157
16,0.159991,0.159231,0.000253,0.000353,0.000153
17,0.157113,0.156321,0.000253,0.000388,0.000151
18,0.149994,0.149318,0.000253,0.000272,0.000151
19,0.139794,0.139025,0.000254,0.000368,0.000147
20,0.135962,0.135256,0.000254,0.000311,0.000141
21,0.127292,0.126496,0.000254,0.000406,0.000137
22,0.119485,0.118704,0.000254,0.000396,0.000132
23,0.118771,0.117994,0.000254,0.000398,0.000125
24,0.110058,0.109217,0.000254,0.000468,0.000119
25,0.10754,0.106748,0.000254,0.000425,0.000113
26,0.104869,0.10406,0.000255,0.000446,0.000108
27,0.099585,0.098767,0.000255,0.000454,0.000109
28,0.093489,0.092752,0.000255,0.000369,0.000112
29,0.093028,0.092238,0.000255,0.000424,0.000111
30,0.083636,0.082917,0.000255,0.000345,0.000119
31,0.081826,0.081144,0.000255,0.000307,0.00012
32,0.080474,0.079685,0.000255,0.000409,0.000125
33,0.078229,0.077474,0.000256,0.000373,0.000126
34,0.072767,0.071948,0.000256,0.000433,0.00013
35,0.071913,0.07116,0.000256,0.000356,0.00014
36,0.071076,0.070366,0.000256,0.000325,0.000129
37,0.064591,0.063894,0.000256,0.0003,0.000141
38,0.064668,0.063952,0.000256,0.000319,0.000141
39,0.061048,0.060414,0.000256,0.000252,0.000126
40,0.061559,0.060851,0.000256,0.000285,0.000166
41,0.058749,0.058072,0.000257,0.000277,0.000145
42,0.055801,0.055143,0.000257,0.000258,0.000144
43,0.054672,0.05403,0.000257,0.000251,0.000134
44,0.052913,0.052089,0.000257,0.000437,0.00013
45,0.049355,0.048595,0.000257,0.000377,0.000126
46,0.049587,0.048922,0.000257,0.000278,0.000131
47,0.04769,0.047045,0.000257,0.000262,0.000125
48,0.047124,0.046513,0.000257,0.00021,0.000143
49,0.045547,0.044985,0.000257,0.000173,0.000132
50,0.045251,0.04467,0.000258,0.000199,0.000123
51,0.04462,0.044017,0.000258,0.000229,0.000116
52,0.041597,0.040902,0.000258,0.000308,0.000129
53,0.041294,0.040541,0.000258,0.000341,0.000154
54,0.038803,0.038203,0.000258,0.000221,0.000121
55,0.038333,0.037758,0.000258,0.000201,0.000116
