epoch,total_loss,bpr_loss,reg_loss,align_loss,diver_loss
0,1.188106,0.569784,0.000251,0.615916,0.002155
1,0.648825,0.544813,0.000251,0.103051,0.000709
2,0.540492,0.528249,0.000251,0.011592,0.0004
3,0.51242,0.487907,0.000251,0.023974,0.000288
4,0.469041,0.451111,0.000252,0.017446,0.000232
5,0.406509,0.402682,0.000252,0.00339,0.000186
6,0.364056,0.361535,0.000252,0.002107,0.000161
7,0.331019,0.327904,0.000252,0.002706,0.000157
8,0.290064,0.288294,0.000252,0.001374,0.000144
9,0.265765,0.264883,0.000252,0.000496,0.000134
10,0.236757,0.235954,0.000252,0.000422,0.000129
11,0.213976,0.212977,0.000252,0.000622,0.000125
12,0.200251,0.199213,0.000253,0.000665,0.000121
13,0.180983,0.180179,0.000253,0.00043,0.000122
14,0.167546,0.166858,0.000253,0.000308,0.000127
15,0.162337,0.161723,0.000253,0.000234,0.000128
16,0.143989,0.143366,0.000253,0.000244,0.000126
17,0.142011,0.141334,0.000253,0.0003,0.000123
18,0.134974,0.134361,0.000253,0.000236,0.000124
19,0.126679,0.126002,0.000253,0.000298,0.000126
20,0.122993,0.12237,0.000254,0.000245,0.000125
21,0.11561,0.114929,0.000254,0.000307,0.00012
